Model,Backbone,Test Accuracy,Macro Precision,Macro Recall,Macro F1,Test Loss
CABIN_CLEANLINESS,EfficientNetB0,0.2979,0.1489,0.5000,0.2295,0.1314
CROWD,EfficientNetB0,0.4091,0.4167,0.4145,0.4079,0.1434
LUGGAGE,DenseNet121,0.6400,0.5734,0.5561,0.5536,0.6149
