Model,Test Accuracy,Test Precision,Test Recall,Test Loss
CABIN_CLEANLINESS,0.7037,0.0000,0.0000,1.0581
CROWD,0.3684,0.3684,0.3684,0.7243
LUGGAGE,0.7600,0.7600,0.7600,0.6482
