Model,Test Accuracy,Test Precision,Test Recall,Test Loss
CABIN_CLEANLINESS,0.6909,0.6909,0.6909,0.8502
CROWD,0.5500,0.5500,0.5500,0.7209
LUGGAGE,0.5769,0.5769,0.5769,0.7032
