cluster,customers,satisfaction_rate,avg_total_delay
0,12779,1.0,122.23546443383677
1,16400,1.0,6.408353658536585
2,13084,1.0,14.772775909507796
3,14560,1.0,13.595260989010988
4,15019,1.0,9.284572874359146
5,22940,1.0,11.475065387968614
6,2337,1.0,435.9482242190843
7,13118,1.0,15.976368348833663
8,19643,1.0,8.943236776459807
