cluster,churn_proxy,cluster_str
1,0.9676179382644147,1
6,0.8635193473008832,6
3,0.8290564153769346,3
2,0.8100208768267223,2
5,0.6919242273180458,5
4,0.06456596869282374,4
0,0.018187576347102205,0
