model,accuracy,precision,recall,f1,roc_auc
XGBoost,0.9655451185709886,0.9746916400182731,0.9452418926103137,0.9597409023435743,0.9953876541440583
Random Forest,0.9635817677856483,0.9732698645184914,0.9420520999468368,0.9574065736154885,0.9943813922970887
Logistic Regression,0.8716122574684324,0.8447064944073528,0.8631933368775474,0.853849861957141,0.9298197119342904
