topic_id,top_terms
0,"service, good, poor, excellent, flight, average, check, baggage, food, seat"
1,"flight, airlines, delta, policy, change, ticket, american, cancellation, united, https"
2,"flight, seat, crew, aircraft, cabin, business, class, food, service, seats"
3,"flight, airport, hours, told, gate, luggage, delayed, check, plane, airline"
4,"airlines, singapore, united, airline, flight, american, flying, bag, travel, carry"
5,"trip, air, travel, flight, airline, points, flights, business, time, reviews"
6,"type, service, seat, class, staff, route, traveller, flown, date, money"
7,"amp, telegram, zone18xxx, airlines, united, flights, https, travel, cock, preview"
