Model,CV AUC Mean,CV AUC Std,Accuracy,ROC-AUC,F1
Gradient Boosting,0.9035743255970103,0.003877623634522826,0.8200626959247649,0.8977211579380515,0.8675588371019843
LightGBM,0.8965365708060109,0.004429852977393307,0.812539184952978,0.8939122437423725,0.862021227503461
XGBoost,0.8942492393315291,0.005222113008958564,0.8119122257053292,0.8917475284261762,0.8613678373382625
Random Forest,0.8865927804079519,0.004403770214104225,0.8075235109717869,0.8867718485015808,0.8583294877711122
Extra Trees,0.8788819564201134,0.00550992825526847,0.8,0.8812659803821576,0.8515588645881805
