Model,CV R² Mean,CV R² Std,Test R²,RMSE,MAE
LightGBM,0.7033851429249209,0.018091192615026837,0.682475193516985,21.692641611980598,16.108771597886317
XGBoost,0.6855149144610628,0.019888112222149038,0.6605904956201429,22.427745074282186,16.31696199738559
Random Forest,0.6824765619491707,0.017052012612636797,0.6524261713424939,22.6958861990794,16.687999504123674
Ridge,0.6456354645836879,0.015519383042625578,0.6240171695443564,23.605196375172877,18.15647510851214
Lasso,0.6438941975389456,0.015351582104051126,0.6223309654770979,23.658069335695735,18.162443381958226
ElasticNet,0.6213300981750343,0.015506240167982247,0.6013183225200335,24.30730160266072,18.081696340766985
Extra Trees,0.6320445448138299,0.02079360319653302,0.5954835928927193,24.484524928517306,17.82900215218917
