model,accuracy,balanced_acc,precision,recall,f1,mcc,kappa,roc_auc,avg_prec,log_loss,cv_f1_mean,cv_f1_std
XGBoost,0.9656991068678781,0.9633083790745645,0.9752217244216879,0.9450646819067872,0.9599064032758854,0.9302988528424688,0.929948582344624,0.9953983422777088,0.9945528265829613,0.08264998197343008,0.9578140389360744,0.0011352980769853932
Random Forest,0.9635817677856483,0.9610873161408793,0.9732698645184914,0.9420520999468368,0.9574065736154885,0.9259896692459721,0.9256144578009815,0.9943813922970887,0.9934031836744506,0.10111734092161649,0.9560368712181744,0.001164217456834423
Logistic Regression,0.8716122574684324,0.8706368318152202,0.8447064944073528,0.8631933368775474,0.853849861957141,0.7395365446190458,0.7393987839631107,0.9298197119342904,0.9329816116549254,0.33135449881081264,0.8493586212664761,0.0027384690585896027
