model,accuracy,precision,recall,f1,roc_auc
XGBoost,0.9656606097936556,0.9741788321167884,0.9460393407761829,0.9599029038928346,0.9955184209259664
Random Forest,0.9631582999692023,0.9719455359590606,0.9424065213538898,0.9569481308200999,0.9944362262829892
Logistic Regression,0.8717662457653218,0.8453590344707823,0.8626617047669679,0.8539227294654212,0.9301922886925216
